pasted_tok	turn	engine_prompt	engine_reused	engine_new	engine_ttft_s	browser_first_s	browser_total_s	gen_tok
0	1	4428	4419	9	1.81	2.81	3.63	2
0	2	4444	4430	14	2.74	3.79	3.80	2
500	1	4672	4419	253	42.04	48.88	49.71	17
500	2	4688	4419	269	45.53	46.85	46.86	3
1000	1	4918	4419	499	86.38	87.38	88.19	2
1000	2	4934	4920	14	2.72	4.04	4.85	3
2000	1	5434	4419	1015	180.96	188.01	188.83	18
2000	2	5450	4419	1031	185.04	187.06	187.07	4
3500	1	6142	4419	1723	317.99	324.19	325.01	14
3500	2	6158	4419	1739	321.33	323.44	323.45	4
